,simple,random,ppo,ddpg,sac,td3,tqc
71,-31582.070996071812,-49194.88194081814,-58613.15886453708,-29097.948184381792,-29112.21763235046,-29090.01048909945,-29615.035913593314
72,-5791.207573953569,-31576.210919397323,-35147.990908507025,-3424.3185649793413,-16478.534713842513,-3419.0788626800404,-6290.2207859346945
73,-5725.229946305356,-28434.336487500852,-31819.81754483032,-5721.452266613465,-3469.653055883465,-3469.653055883465,-6376.27835702049
74,-6198.108316352558,-28241.55546402914,-31768.550014669625,-3437.5865834631522,-3431.544560604724,-3431.205483463152,-6217.182448298327
75,-5652.7202472781955,-32981.8564710774,-36529.16971001124,-3656.045225800455,-3380.026980713819,-3358.7606323265254,-5896.219789095938
76,-7148.353218884246,-30784.50878482103,-33311.51754037791,-3492.228675660567,-2989.4135021578313,-2748.8659558865675,-6145.804991607151
77,-3143.143311609778,-29492.41463624817,-33893.20306864759,-3666.377668199203,-4348.571416872444,-3283.640571729434,-5811.123270712322
78,-5560.332732049308,-33598.96809762856,-38866.17421629244,-4802.761276143765,-4549.550648999364,-4549.550648999364,-6745.625114814584
79,-5523.851011536704,-32840.348138754634,-39083.60038278837,-4567.273620349354,-4563.088669989673,-4562.830801660897,-7659.446236940043
80,-5793.051819370624,-33604.752421779966,-36787.527495189526,-4234.886012703263,-3593.8954763967386,-3422.9995080013696,-6274.133653985711
81,-32273.960187750585,-53515.766063702875,-48188.9398766784,-32381.13608882197,-32409.670228160197,-32374.96347820197,-33210.30818093923
82,-35650.790576897765,-78998.96157161865,-83090.73385488673,-35782.066193098886,-35798.01445330153,-35770.967680737165,-35794.056296126146
83,-32102.005350041658,-38826.6244101035,-45056.49493264286,-32207.564848720333,-32207.781649778248,-32202.74724747033,-35513.56657207924
84,-6317.228250810353,-31361.114529080372,-34821.54303762372,-3670.720973801851,-3663.6305147135745,-3663.6305147135745,-6396.022596877305
85,-6052.944657955014,-40394.60991045569,-45955.69382418785,-5178.398345353131,-5163.586149219742,-5163.586149219742,-8160.560265730084
86,-4795.405318238227,-32456.99013669025,-36534.100021911276,-4548.677524560574,-3337.43709257732,-3336.8154206505737,-6282.791457495352
87,-3865.722742294769,-30442.378919676117,-30645.72501255319,-3044.5367102643813,-3039.760623488591,-3039.5904215766514,-5660.638564029432
88,-4023.9603242789626,-31181.572763660995,-34497.01781841389,-3393.9438062726394,-3396.6255848600667,-3392.9099635926395,-6297.749852151596
89,-32399.79011972385,-50052.48438577186,-41058.0278966707,-32509.20858888003,-32510.076224629105,-32503.199371380026,-35495.46944652437
90,-31442.395723674348,-57057.99168042098,-43515.60152375367,-31615.265636703458,-31613.143871410964,-31612.39619204581,-32015.606611735773
91,-5764.859687899718,-34174.08347565455,-37675.52177767185,-3801.72290580446,-3074.2819024406303,-1916.3177842310597,-5076.808620416419
92,-5121.341450402412,-35239.685830274306,-38906.1446082899,-5007.819952126728,-4734.029137186727,-4734.029137186727,-7518.411878096995
93,-4110.370402235481,-29192.79698974816,-30348.16207978832,-3171.878885453975,-3178.626852755667,-3169.7998901451256,-5857.072187549927
94,-5738.5017774966855,-33331.454323667174,-36885.14060967166,-4080.302257870515,-2289.3943366255844,-1676.3827469550342,-4912.613461774385
95,-3317.70509582699,-27296.563944744463,-29065.099502137735,-3651.878214657394,-2949.563466972817,-2943.4644536594424,-4709.149937358815
96,-6940.484813943047,-29721.719432297126,-32892.23159894951,-3519.01767639333,-2718.99891687107,-2555.72067761333,-5819.640326500039
97,-33039.057079355916,-68743.0878040577,-48380.52353807994,-33155.49002341899,-33196.37996238181,-33149.57638216899,-33126.991769625754
98,-3237.8737784726686,-28026.43823418885,-29749.987645984027,-3700.207211951906,-2995.2671764697834,-2992.7139491126636,-5260.106521974634
99,-5506.546262372496,-29266.240628763837,-33821.00108675174,-3355.9359964614737,-3352.4571066932053,-3350.7753848598736,-6399.686961463337
